test_set,Label NB
parah udah naro email jobstreet temu sandi salah cek google,negatif
andal utama cari kerja,positif
aplikasi tipu ini lowong kerja hoax rugi cari kerja tolong baik terima perushaan bodong aplikasi ga baguss bngt aja usaha bodong tipu sukaa mintain duitt orang lamar nominal nya ckup mohon tindak lanjut usah bodong tipu,negatif
staf produksi pt pos pt kelapa sawit,negatif
mantap,positif
ratus kali lamar loker satu panggil kerja penuh syarat usaha butuh kerja,negatif
data pribadi bocor,negatif
bantu thanks jobstreet,positif
bohong,positif
gk simpel,negatif
trima kasih aatas aplikasi moga bermaanfaat teman yg membutuhkanya,positif
tingkatkankeakuratan yg,positif
alam sales engineer biasa identifikasi butuh customer lapang tawar b2b langsung customer,positif
not a al qaeda,positif
muda2han tawar kerja,negatif
ok,positif
moga hasil temu kerja,positif
joobstreet bantu,positif
update cv hilang profile akun hilang history lamar hilang data pribadi hilang tolong balikin akun,negatif
mudah cari kerja,positif
jobstreet jobstreet versi mending versi versi lowong palsuhoak,negatif
bagus,positif
bagus,positif
ko abis update ribet ya aplikasi,negatif
aplikasi bagus kalo search loker lokasi ga akurat banyak loker yg kualifikasi berat,negatif
good,positif
team leader,positif
bagus manfaat,positif
aplikasi nya sih baguscuma lowong kerja yg kadaluarsa posting lagikalau baru ajatrima kasih,negatif
terima kasih jobstreet bantu cari kerja,positif
manfaat,positif
terima kasih kerja ewat jobstreet moga limpah berkah jajar manajemen jobstreet mana,positif
aplikasi patut coba manfaat,positif
bagus,positif
moga rezeki aamiin,positif
aplikasi cari model ubah tampil lokernya cari muncul sesuai cari,negatif
6 jobstreet senang mudah lamar kerja efektif efisien alhamdulillah proses usaha tahap interview user interview hrd mcu thank you jobstreet moga upgrade baik,positif
bagus,positif
bagus cari kerja,positif
usaha bodong yg posting loker d aplikasi aplikasi ga,negatif
ngelamar mari oper aplikasi nyusahin,negatif
bantu,positif
data orang min nggak lamar usaha data min data disebarin min,negatif
better information,positif
maaf d update ga masuk log intolong d benerin aplikasi,negatif
